City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2022-05-03 18:40:02,42.6001,-73.9662,65.91,59,100,5.01
1,New Norfolk,AU,2022-05-03 18:41:50,-42.7826,147.0587,56.91,82,100,6.13
2,Hamilton,US,2022-05-03 18:39:51,39.1834,-84.5333,79.43,71,40,17.27
3,Mar Del Plata,AR,2022-05-03 18:40:48,-38.0023,-57.5575,62.94,56,0,13.8
4,Ushuaia,AR,2022-05-03 18:41:51,-54.8,-68.3,42.46,75,20,20.71
5,Chokurdakh,RU,2022-05-03 18:41:52,70.6333,147.9167,26.17,96,100,3.76
6,Upernavik,GL,2022-05-03 18:41:52,72.7868,-56.1549,12.49,83,14,11.14
7,Port Alfred,ZA,2022-05-03 18:41:53,-33.5906,26.891,66.18,93,100,1.01
8,Hede,CN,2022-05-03 18:41:53,33.7681,120.2517,58.93,66,0,10.0
9,Atambua,ID,2022-05-03 18:41:54,-9.1061,124.8925,73.51,87,44,4.45
10,Lufilufi,WS,2022-05-03 18:41:54,-13.8745,-171.5986,76.78,75,65,7.16
11,Faanui,PF,2022-05-03 18:41:55,-16.4833,-151.75,81.3,76,98,11.77
12,Quatre Cocos,MU,2022-05-03 18:41:55,-20.2078,57.7625,77.11,83,56,14.43
13,Broken Hill,AU,2022-05-03 18:40:46,-31.95,141.4333,53.31,71,0,9.22
14,Luderitz,NA,2022-05-03 18:37:55,-26.6481,15.1594,64.98,63,0,10.13
15,Necochea,AR,2022-05-03 18:41:56,-38.5473,-58.7368,62.26,46,0,12.88
16,Salalah,OM,2022-05-03 18:41:57,17.0151,54.0924,84.29,89,75,5.75
17,Hermanus,ZA,2022-05-03 18:41:57,-34.4187,19.2345,64.8,91,0,7.4
18,Busselton,AU,2022-05-03 18:41:58,-33.65,115.3333,55.71,71,81,10.47
19,Bredasdorp,ZA,2022-05-03 18:41:58,-34.5322,20.0403,61.32,97,1,3.13
20,Cidreira,BR,2022-05-03 18:41:59,-30.1811,-50.2056,64.15,93,100,20.83
